148,"Most people are so ungrateful to be alive, but not you, not any more.",— Saw II (movie),James Wan
149,Someone has to protect this family from the man who protects this family.,— Breaking Bad (other),Vince Gilligan
150,"This world is merciless, and it's also very beautiful.",— Attack on Titan (book),Hajime Isayama
151,"I still hear these echoes of when you loved me, but now you're just someone in my mind. Now you're just someone in my mind that used to be mine.",— Not That Simple (song),Mike Posner
152,"I want to know how I stand, where I fit in the picture, what it's all gonna mean to me.",— Holiday (movie),George Cukor
153,"I'm gonna keep racing. But before that, I got something I want to do.",— Cars 3 (movie),Brian Fee
154,"Saturn spins very quickly, taking just ten hours to go around.",— The Usborne Book of Astronomy (book),Lisa Miles and Alistair Smith
155,"You poor thing. They won't let you have any fun, and they won't let you have any time to think.",— Holiday (movie),George Cukor
156,Don't concern yourself about anybody. Just do what you think is right.,— The Trial (book),Franz Kafka
157,The evil of the world is made possible by nothing but the sanction you give it.,— Atlas Shrugged (book),Ayn Rand
158,"In a world without heroes, there's nothing to be. It's no place for me.",— Grazing In The Grass (song),Friends of Distinction
159,I was making the most common and painful mistake women have made all throughout the ages: to naively think that with their love they can change the men they love.,— The Forty Rules of Love (book),Elif Shafak
160,"The longer you live, the more you fail. Failure is the mark of a life well lived. In turn, the only way to live without failure is to be of no use to anyone.",— Oathbringer (book),Brandon Sanderson
161,"Let the past die. Kill it, if you have to. That's the only way to become what you are meant to be.",— Star Wars: The Last Jedi (movie),Rian Johnson
162,"That's the reason they're called lessons, because they lessen from day to day.",— Alice's Adventures in Wonderland (book),Lewis Carroll
163,People only find me interesting because they can't tell whether I'm serious or not.,— Hunter X Hunter (book),Yoshihiro Togashi
164,There are times when you have to give up on one thing to preserve the other.,— Tokyo Ghoul (book),Sui Ishida
165,"If you really want to become strong, stop caring about what others think about you. Living your life has nothing to do with what others think.",— One Punch Man (book),Yusuke Murata
166,There is something about yourself that you don't know.,— Revolver (movie),Guy Ritchie
167,"It's not every day you see a driver who works his ride better than his own feet, but when you do you can tell by the aura coming off the car.",— Initial D (other),Takashi Nakazato
168,"If your actions inspire others to dream more, learn more, do more and become more, you are a cartographer.",— Civilization VI (game),2K Games
169,Not killing people is really hard. Clean living is tough.,— Hunter X Hunter (book),Yoshihiro Togashi
170,A baby beaver stays with its parents for a period of two years.,— The Book of Useless Information (book),Noel Botham & The Useless Information Society
171,"I feel changed around, and instead of falling down I'm standing up the morning after.",— Say Yes (song),Elliott Smith
172,"But here you know everyone and everyone knows you, and yet you are a stranger.",— The Stories of Anton Chekhov (book),Anton Chekhov
173,"Look, maybe you've seen something so important you can't realize it.",— Deep Red (movie),Dario Argento
174,And what is the use of a book without pictures or conversation?,— Alice's Adventures in Wonderland (book),Lewis Carroll
175,You are what you are and you are where you are because of what has gone into your mind. You change what you are and you change where you are by changing what goes into your mind.,— See You at the Top (book),Zig Ziglar
176,"I tried so hard and got so far, but in the end it doesn't even matter.",— In The End (song),Linkin Park
177,People are almost always better than their neighbors think they are.,— Middlemarch (book),George Eliot
178,I was wondering why the ball was getting bigger. Then it hit me.,— Short Joke (other),bestlifeonline.com
179,There are many things that I would like to say to you but I don't know how.,— Wonderwall (song),Oasis
180,"If you're going to become a hero, you don't have time for such leisurely events.",— Boku No Hero Academia (book),Kohei Horikoshi
181,"What are the children of men, but as leaves that drop at the wind's breath?",— The Iliad (book),Homer
182,"I'm just going to do what I want now, and let the chips fall where they may.",— Twilight (book),Stephenie Meyer
183,"We act like if we just get through the day, tomorrow our dreams will come back to us.",— xkcd: volume 0 (book),Randal Munroe
184,Come with me. You must. Torture me no more. I love you. I want you now.,— Sawdust and Tinsel (movie),Ingmar Bergman
185,If you are lying it will be easy on my mind. I won't have to show you any mercy. I can defeat you without hesitation.,— Hunter X Hunter (book),Yoshihiro Togashi
186,It is better to be hated for what you are than to be loved for what you are not.,— Easy Quotes For Speedy Typists (book),Tim Jeffery
187,It takes a mere second for treasure to turn to trash.,— Hunter X Hunter (book),Yoshihiro Togashi
188,One can't live with one's finger everlastingly on one's pulse.,— Heart of Darkness (book),Joseph Conrad
189,There's nothing crueler than letting a dream end midway.,— Boku No Hero Academia (book),Kohei Horikoshi
190,All men are not created equal.,— Boku No Hero Academia (book),Kohei Horikoshi
191,"I wanna live the stories I write, see the whole world with my own eyes, take the unknown trail and hear the songs the night sings. I wanna feel the flame when it burns, wanna feel the pain when it hurts, take the unknown trail and hear the songs the night sings.",— Songs the Night Sings (song),The Dark Element
192,She was the epitome of stately sorrow each time she smiled.,— Catch-22 (book),Joseph Heller
193,You are the most important thing to me now. The most important thing to me ever.,— Twilight (book),Stephenie Meyer
194,How do you make holy water? You boil the hell out of it.,— Short Joke (other),bestlifeonline.com
195,"I hate him for himself, but despise him for the memories he revives.",— Wuthering Heights (book),Emily Brontë
196,I don't need a sword. I don't want to kill anyone.,— Seven Deadly Sins (book),Nakaba Suzuki
197,"If someone were to say such a thing, they would not be a friend. They would be a dog.",— The Godfather: Part III (movie),Francis Ford Coppola
198,I think someone should just take this city and just... just flush it down the toilet.,— Taxi Driver (movie),Martin Scorsese
199,"When you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.",— When Harry Met Sally (movie),Nora Ephron
200,My wife accused me of being immature. I told her to get out of my fort.,— Short Joke (other),boredpanda.com
201,"I shot an arrow into the air, It fell to earth, I knew not where.",— The Arrow and the Song (poem),Henry Wadsworth Longfellow
202,It is always fatal to have music or poetry interrupted.,— Middlemarch (book),George Eliot
203,Qualification isn't something we have to talk about. The ones who are not okay with their success can go through training until they are.,— Hunter X Hunter (book),Yoshihiro Togashi
204,"You can't go on like this forever. You really like me and you're afraid to admit it, aren't you?",— My Man Godfrey (movie),Gregory La Cava
205,"What did it mean to her, this thing she called life? Oh, it was very queer.",— Mrs. Dalloway (book),Virginia Woolf
206,Nothing is particularly hard if you divide it into small jobs.,— Civilization V (game),2K Games
207,We all require devotion to something more than ourselves for our lives to be endurable.,— Being Mortal: Medicine and What Matters in the End (book),Atul Gawande
208,I love to type crazy stuff.,— Alphabet (other),Valikor
209,"I wanna run away anywhere out this place. I wanna run away, just you and I.",— Runaway (U & I) (song),Galantis
210,Sometimes we get sad about things and we don't like to tell other people that we are sad about them.,— The Curious Incident of the Dog in the Night-Time (book),Mark Haddon
211,"If you could kick the person in the pants responsible for most of your trouble, you wouldn't sit for a month.",— Funny Quote (other),Submitted
212,"I know. I was there. I saw the great void in your soul, and you saw mine.",— Birdsong (book),Sebastian Faulks
213,"There are places to go, wonders to see. I had hope in my bones you would see them with me.",— Trajectories (song),Bruno Major
214,"Give a man a gun and he can rob a bank, but give a man a bank, and he can rob the world... I like it for the same reason many people hate it, because to me it means that power belongs to the people that take it.",— Mr. Robot (other),Sam Esmail
215,How do you drown a hipster? Throw him in the mainstream.,— Short Joke (other),readersdigest.ca
216,"And you know, there's less charm in life when you think about death - but it's more peaceful.",— Anna Karenina (book),Leo Tolstoy
217,"They hang like grapes on vines that shine, and warm the lovers' glass like friendly wine.",— Highway Of Hero's (song),The Trews
218,It was written I should be loyal to the nightmare of my choice.,— Heart of Darkness (book),Joseph Conrad
219,"Well is it said that neither love nor power admit a rival, even for an hour.",— The Canterbury Tales (book),Geoffrey Chaucer
220,"When you're good at anticipating the human mind, you leave nothing to chance.",— Saw II (movie),Darren Lynn Bousman
221,"You never know the biggest day of your life is going to be the biggest. The days you think are going to be the big ones, they are never as big as you make them out to be in your head. It's the regular days, the ones that start out normal. Those are the days that end up the biggest.",— Grey's Anatomy (other),Shonda Rhimes
222,"You have the power to heal your life, and you need to know that.",— Meditations to Heal Your Life (book),Louise Hay
223,"Most people are so ungrateful to be alive, but not you, not any more.",— Saw (movie),James Wan
224,There are too many things we do not wish to know about ourselves.,— The Fire Next Time (book),James Baldwin
225,"What she's got you couldn't spell - and what you've got, you used to have.",— The Barefoot Contessa (movie),Joseph L. Mankiewicz
226,Don't it make you sad to know that life is more than who you are?,— Name (song),Goo Goo Dolls
227,"That is how it chooses to imagine many things, when it is deep in the dream of a game.",— Minecraft (game),Mojang
228,He who controls the past controls the future. He who controls the present controls the past.,— Nineteen Eighty Four (book),George Orwell
229,"Whatever our fate is or may be, we have made it and do not complain of it.",— Anna Karenina (book),Leo Tolstoy
230,The deeper the darkness the more dazzling the light shines!,— Boku No Hero Academia (book),Kohei Horikoshi
231,Did you hear about the guy whose whole left side was cut off? He's all right now.,— Short Joke (other),bestlifeonline.com
232,Why spend your whole life trying to be somebody that you're not? It's so much more fun to be yourself.,— Public Statement (other),Lady Gaga
233,People who abuse power they were born into piss me off more than anything else.,— Akame ga kill (book),Tetsuya Tashiro
234,"You ain't sure yet, but I'm for ya. All I could want, all I can wish for. Nights alone that we miss more.",— Peaches (song),Justin Bieber
235,What did one hat say to the other? You wait here. I'll go on a head.,— Short Joke (other),readersdigest.ca
236,Perhaps if you know you are insane then you are not insane.,— The Man in the High Castle (book),Philip K. Dick
237,And he told us of his life in the land of submarines.,— Yellow Submarine (song),The Beatles
238,Just 'cause you feel it doesn't mean it's there. Just 'cause you feel it doesn't mean it's there.,"— There, There (song)",Radiohead
239,My fans are who I am. You give meaning to my life. You will never know the connection I feel to you.,— Public Statement (other),Lady Gaga
240,"Take my hand, take my whole life too. For I can't help falling in love with you",— Far Away Eyes (song),The Rolling Stones
241,"You have this strange, almost pheromonal scent about you. I bet anyone who looks at your body can tell that your pheromones are off the charts!",— Danganronpa V3: Killing Harmony (game),Spike Chunsoft
242,"Measure what is measurable, and make measurable what is not so.",— Building Fluency Through Practice and Performance (book),Timothy Rasinski and Lorraine Griffith
243,"The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.",— The Catcher in the Rye (book),J. D. Salinger
244,"If facts don't fit the theory, change the facts.",— Civilization VI (game),2K Games
245,"You cut deep, but you don't see. You don't care, you don't bleed.",— Dynamite (song),Nause feat. Pretty Sister
246,Did you know that the eye of an ostrich is larger than its brain?,— 1001 Cool Freaky Facts (book),Glen Singleton
247,"I am built upon the small things I do every day, and the end results are no more than a byproduct of that.",— Haikyuu (movie),Haruichi Furudate
248,"But I really believe that there are more good people on this earth than bad people, and the good people watch out for each other and take care of each other.",— Wonder (book),R.J. Palacio
249,May you find the power in understanding the journey of others to help create your own.,— The Mamba Mentality: How I Play (book),Kobe Bryant
250,"I wanna see if you wanna see what it means to be the man with the master plan, are you the man now?",— PaRappa the Rapper (game),NanaOn-Sha
251,"Love is like a brick. You can build a house, or you can sink a dead body.",— Public Statement (other),Lady Gaga
252,"History is ours, and the people make it to build a better society.",— The Battle of Chile: Part II (movie),Patricio Guzmán
253,I take my card and I stand in line to make a buck I work overtime.,— Feel Like A Number (song),Bob Seger
254,There are fewer than one thousand giant pandas left alive in the world.,— The Book of Useless Information (book),Noel Botham & The Useless Information Society
255,"Any time you sincerely want to make a change, the first thing you must do is to raise your standards.",— Awaken the Giant Within (book),Tony Robbins
256,I must be strong and carry on 'cause I know I don't belong here in heaven.,— Tears In Heaven (song),Eric Clapton
257,I still owe money to the money to the money I owe. I never thought about love when I thought about home.,— Bloodbuzz Ohio (song),The National
258,"When you saw your lover wore a ring around her finger, why didn't you stop?",— New Storms For Older Lovers (song),La Dispute
259,Here is a man who would not take it anymore. Here is a man who stood up.,— Taxi Driver (movie),Martin Scorsese
260,Don't think about the major issues. You do what you can about the misery in front of you. You add your light to the sum of all light.,— The Year of Living Dangerously (movie),Peter Weir
261,"The clouds appeared and went away, and in a while they did not try anymore.",— The Grapes of Wrath (book),John Steinbeck
262,"Love is not necessary, power is the only true necessity.",— Naruto Shippuden (book),Masashi Kishimoto
263,It is more difficult to pretend that you do have feelings when you don't than to pretend you don't have feelings when you do.,— The Lobster (other),Yorgos Lanthimos
264,"There was never any more inception than there is now, nor any more youth or age than there is now; and will never be any more perfection than there is now, nor any more heaven or hell than there is now.",— Leaves of Grass (book),Walt Whitman
265,"It's gonna hurt, now. Anything dead coming back to life hurts.",— Beloved (book),Toni Morrison
266,I can't believe I used to love the 1st day of school.,— The Miscalculations of Lightning Girl (book),Stacy McAnulty
267,That troll won't be reasoned with. I think something else is in order.,— King's Quest VII: Princeless Bride (game),Sierra On-Line
268,Now there is nothing you can do to stop me. She is happy when she is with me and I am finally alive.,— New Storms For Older Lovers (song),La Dispute
269,"He drank too much when he could get it, ate too much when it was there, talked too much all the time.",— The Grapes of Wrath (book),John Steinbeck
270,Mercury is the only metal that is liquid at room temperature.,— The Book of Useless Information (book),Noel Botham & The Useless Information Society
271,The man who does not read has no advantage over the man who cannot read.,— Easy Quotes For Speedy Typists (book),Tim Jeffery
272,"I came to understand him to mean you could stop at, not all, but most of the moments of your life, stop for one heartbeat and, no matter what the state of your head or heart, say: This is happiness. Because of the simple truth that you were alive to say it.",— This is Happiness (book),Niall Williams
273,That is the thing with giving your heart. You never wait for someone to ask. You hold it out and hope they want it.,— Ballad of Songbirds and Snakes (book),Suzanna Collins
274,"I think that one of these days, you're going to have to find out where you want to go. And then you've got to start going there. But immediately. You can't afford to lose a minute.",— The Catcher in the Rye J. D. Salinger (book),J. D. Salinger
275,"I wanna live with you even when we're ghosts, cause you were always there for me when I needed you most.",— Say You Won't Let Go (song),James Arthur
276,I don't care if you don't save me or the world if you don't save yourself.,— Legion (other),Noah Hawley
277,"This place exists between dream and reality, mind and matter.",— Persona 5 (game),Atlus
278,"I live my day as if it was the last, live my day as if there was no past.",— Lush Life (song),Zara Larsson
279,I'm in love with the world through the eyes of a girl who's still around the morning after.,— Say Yes (song),Elliott Smith
280,"Ride the snake, ride the snake to the lake, the ancient lake, baby.",— The End (song),The Doors
281,Never imagine yourself not to be otherwise than what it might appear to others that what you were or might have been was not otherwise than what you had been would have appeared to them to be otherwise.,— Alice's Adventures in Wonderland (book),Lewis Carroll
282,"Therefore a man shall leave his father and mother and be joined to his wife, and they shall become one flesh.",— Genesis 2:24 (NKJV) (book),God
283,She was feeling the pressure of the world outside and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all.,— The Great Gatsby (book),F. Scott Fitzgerald
284,Why don't scientists trust atoms? Because they make up everything.,— Short Joke (other),readersdigest.ca
